R5-tag/LL:  1  -0.0168153/+0.0169602  (68% CL)
 
R5-tag/NuNu/LL:  0.99999  -1.76926/+1.77807  (68% CL)
 
R5-tag/NuNu/LH:  0.999992  -0.155883/+0.156116  (68% CL)
 
R5-tag/NuNu/HH:  0.999993  -0.0659441/+0.0663976  (68% CL)
 
R5-tag/NuNu:  1  -0.0576071/+0.0581332  (68% CL)
 
R5-tag combined:  1  -0.00795884/+0.00798066  (68% CL)
 

ktN-explicit/QQ/LL:  1  -0.0436601/+0.0440308  (68% CL)
 
ktN-explicit/QQ/LH:  1  -0.0239131/+0.0236083  (68% CL)
 
ktN-explicit/QQ/HH:  1  -0.0192869/+0.0191471  (68% CL)
 
ktN-explicit/QQ:  1  -0.0143029/+0.0143686  (68% CL)
 
ktN-explicit/LL/LL:  1  -0.179612/+0.184251  (68% CL)
 
ktN-explicit/LL/LH:  1  -0.0541929/+0.0555164  (68% CL)
 
ktN-explicit/LL/HH:  1  -0.0255348/+0.0258706  (68% CL)
 
ktN-explicit/LL:  1  -0.0218656/+0.0222232  (68% CL)
 
ktN-explicit/NuNu/LL:  1  -1.68372/+1.69242  (68% CL)
 
ktN-explicit/NuNu/LH:  0.999999  -0.170482/+0.171091  (68% CL)
 
ktN-explicit/NuNu/HH:  0.999998  -1.66991/+1.66678  (68% CL)
 
ktN-explicit/NuNu:  0.999986  -0.138749/+0.139244  (68% CL)
 
ktN-explicit combined:  0.999999  -0.00894672/+0.00896835  (68% CL)
 

ktN-tag/QQ/LL:  1  -0.0350788/+0.0358125  (68% CL)
 
ktN-tag/QQ/LH:  1  -0.0187224/+0.0186918  (68% CL)
 
ktN-tag/QQ/HH:  1  -0.0144214/+0.0144353  (68% CL)
 
ktN-tag/QQ:  1  -0.0112511/+0.0113055  (68% CL)
 
ktN-tag/LL/LL:  1  -0.179612/+0.184251  (68% CL)
 
ktN-tag/LL/LH:  1  -0.0567546/+0.0585487  (68% CL)
 
ktN-tag/LL/HH:  1  -0.0224259/+0.0224669  (68% CL)
 
ktN-tag/LL:  1  -0.0206085/+0.0208381  (68% CL)
 
ktN-tag/NuNu/LL:  1  -1.69836/+1.70831  (68% CL)
 
ktN-tag/NuNu/LH:  1  -0.230453/+0.229133  (68% CL)
 
ktN-tag/NuNu/HH:  0.999999  -0.0707191/+0.0707068  (68% CL)
 
ktN-tag/NuNu:  0.999999  -0.0628855/+0.0635812  (68% CL)
 
ktN-tag combined:  1  -0.00742349/+0.00743803  (68% CL)
 
R5-explicit/QQ/LL:  1  -0.0521423/+0.0532873  (68% CL)
 
R5-explicit/QQ/LH:  1  -0.0303664/+0.0304876  (68% CL)
 
R5-explicit/QQ/HH:  1  -0.0210913/+0.021023  (68% CL)
 
R5-explicit/QQ:  1  -0.0162863/+0.0163564  (68% CL)
 
R5-explicit/LL/LL:  1  -0.179612/+0.184251  (68% CL)
 
R5-explicit/LL/LH:  1  -0.0465927/+0.0483862  (68% CL)
 
R5-explicit/LL/HH:  1  -0.0246179/+0.0250395  (68% CL)
 
R5-explicit/LL:  1  -0.0208086/+0.0210455  (68% CL)
 
R5-explicit/NuNu/LL:  1  -1.90938/+1.9248  (68% CL)
 
R5-explicit/NuNu/LH:  0.999999  -0.152713/+0.152787  (68% CL)
 
R5-explicit/NuNu/HH:  0.999997  -0.0663526/+0.0663976  (68% CL)
